y,t
31.5,38.455078125
18.5,38.45703125
16.875,38.458984375
19.375,38.4609375
18.625,38.462890625
8.75,38.46484375
6.875,38.466796875
16,38.46875
12.375,38.470703125
3.25,38.47265625
19.625,38.474609375
22.125,38.4765625
13.125,38.478515625
14.875,38.48046875
15.375,38.482421875
22.5,38.484375
17.5,38.486328125
4.875,38.48828125
22.375,38.490234375
28,38.4921875
15.5,38.494140625
17.125,38.49609375
8,38.498046875
3.125,38.5
3.125,38.501953125
-2.125,38.50390625
4.375,38.505859375
17.25,38.5078125
29,38.509765625
35.75,38.51171875
27.75,38.513671875
21.25,38.515625
21.5,38.517578125
35.625,38.51953125
36.25,38.521484375
-13.25,38.5234375
-16.375,38.525390625
15.625,38.52734375
12.75,38.529296875
21.625,38.53125
14.75,38.533203125
-1.625,38.53515625
22,38.537109375
27,38.5390625
9.75,38.541015625
9.75,38.54296875
14.875,38.544921875
34,38.546875
32.375,38.548828125
6.25,38.55078125
16.25,38.552734375
33.75,38.5546875
22.875,38.556640625
13.25,38.55859375
15,38.560546875
24.75,38.5625
30.375,38.564453125
35.125,38.56640625
18.375,38.568359375
-0.125,38.5703125
20.125,38.572265625
20.5,38.57421875
40.5,38.576171875
48.375,38.578125
-7.75,38.580078125
-16.875,38.58203125
8.375,38.583984375
20.625,38.5859375
25.5,38.587890625
14.75,38.58984375
10.625,38.591796875
13,38.59375
17.25,38.595703125
22.375,38.59765625
43.375,38.599609375
50,38.6015625
12.75,38.603515625
1.75,38.60546875
32.25,38.607421875
23.25,38.609375
12.875,38.611328125
32.625,38.61328125
20.75,38.615234375
16.375,38.6171875
30.125,38.619140625
36.125,38.62109375
38.5,38.623046875
20.5,38.625
3.5,38.626953125
11.875,38.62890625
19.625,38.630859375
20.75,38.6328125
24.5,38.634765625
25.125,38.63671875
21.875,38.638671875
30.625,38.640625
40.375,38.642578125
32.625,38.64453125
22.25,38.646484375
13.125,38.6484375
8.75,38.650390625
23.375,38.65234375
49.625,38.654296875
40.75,38.65625
19.75,38.658203125
29.75,38.66015625
37.25,38.662109375
27.25,38.6640625
22.25,38.666015625
